Comment,Designator,Footprint,LCSC Part #
100nF,"C1,C3,C5,C9,C13,C16,C17",0603,C14663
10uF,"C2,C4,C7,C12,C15",0603,C19702
22uF,C8,0603,C59461
10nF,C10,0402,C15195
100pF,C11,0402,C1546
10nF,C14,0603,C57112
BLUE,D1,0603,C99290
YELLOW,D2,0603,C125093
GREEN,D3,0603,C125093
RED,D4,0603,C2286
WHITE,D5,0603,C2290
CYAN,D6,0603,
SS14,"D7,D8,D9,D10",SMA,C2480
BAT54,D11,SOD-323,C7502694
Conn_01x15,"J1,J4",PinSocket_1x15_P2.54mm_Vertical,
JST_PH_BAT,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
U.FL,J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
MICROSD,J5,microSD_HC_Hirose_DM3D-SF,C719027
HOSYOND_3.5_TFT,J9,PinHeader_1x10_P2.54mm_Vertical,C2337
I2C_EXP1,J10,PinHeader_1x04_P2.54mm_Vertical,C2337
I2C_EXP2,J11,PinHeader_1x04_P2.54mm_Vertical,C2337
I2C_EXP3,J12,PinHeader_1x04_P2.54mm_Vertical,C2337
GPIO_EXP,J13,PinHeader_1x05_P2.54mm_Vertical,C2337
UART_DBG,J14,PinHeader_1x04_P2.54mm_Vertical,C2337
J_AUX,J15,PinHeader_1x06_P2.54mm_Vertical,C2337
GNSS_DBG,J16,PinHeader_1x04_P2.54mm_Vertical,C2337
LATCH_DBG,J17,PinHeader_1x05_P2.54mm_Vertical,C2337
22uH,L1,L_Bourns_SRN6045TA,C2044314
33nH,L2,0402,C32837
2N3904,Q_INV1,SOT-23,C20526
AO3401A,Q_PWR1,SOT-23,C15127
100k,"R1,R2,R10,R12,R15",0603,C25803
2k,R6,0603,C22975
10k,"R7,R13,R14,R16,R23,R24,R25,R26,R27,R28",0603,C15401
1k,"R8,R9,R17,R18,R19",0603,C21190
13.7k,R11,0603,C22793
470,R20,0603,C23179
4.7k,"R21,R22",0603,C23162
LC29HEAMD,U1,GPSM-SMD_24P-L16.0-W12.2-P1.10-TL,C28453488
TP4056,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,C382139
MT3608,U3,SOT-23-6,C84817
SN74LVC1G74,U_FF1,VSSOP-8_DCU_2.3x2mm_P0.65mm,C70285
DRV5032AJDBZR,U_HALL1,SOT-23,C266120
MAX809T,U_RST1,SOT-23,C347372
