Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C17, C3, C5, C9",0603,7,100nF,C14663
C10,0402,1,10nF,C15195
C11,0402,1,100pF,C1546
"C12, C15, C2, C4, C7",0603,5,10uF,C19702
C14,0603,1,10nF,C57112
C8,0603,1,22uF,C59461
"D1, D6",0603,2,BLUE,C99290
"D10, D7, D8, D9",D_SMA,4,SS14,C2480
D11,D_SOD-323,1,BAT54,C7502694
D2,0603,1,YELLOW,C89811
D3,0603,1,GREEN,C99289
D4,0603,1,RED,C2286
D5,0603,1,WHITE,C2290
"J1, J4",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15,C2932676
J10,PinHeader_1x04_P2.54mm_Vertical,1,I2C_EXP1,C5116483
J11,PinHeader_1x04_P2.54mm_Vertical,1,I2C_EXP2,C5116483
J12,PinHeader_1x04_P2.54mm_Vertical,1,I2C_EXP3,C5116483
J13,PinHeader_1x05_P2.54mm_Vertical,1,GPIO_EXP,C5156614
J14,PinHeader_1x04_P2.54mm_Vertical,1,UART_DBG,C5116483
J15,PinHeader_1x06_P2.54mm_Vertical,1,J_AUX,C32713272
J16,PinHeader_1x04_P2.54mm_Vertical,1,GNSS_DBG,C5116483
J17,PinHeader_1x05_P2.54mm_Vertical,1,LATCH_DBG,C5156614
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST_PH_BAT,C173752
J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL,C88374
J5,microSD_HC_Hirose_DM3D-SF,1,MICROSD,C719027
J8,PinHeader_1x10_P2.54mm_Vertical,1,BNO085_DIRECT_SOLDER,C57369
J9,PinHeader_1x10_P2.54mm_Vertical,1,HOSYOND_3.5_TFT,C57369
L1,L_Bourns_SRN6045TA,1,22uH,C2044314
L2,0402,1,33nH,C32837
Q_INV1,SOT-23,1,2N3904,C20526
Q_PWR1,SOT-23,1,AO3401A,C15127
"R1, R10, R12, R15, R2",0603,5,100k,C25803
R11,0603,1,13.7k,C22793
"R13, R14, R16, R23, R24, R25, R26, R27, R28, R7",0603,10,10k,C25804
"R17, R18, R19, R8, R9",0603,5,1k,C21190
R20,0603,1,470,C23179
"R21, R22",0603,2,4.7k,C23162
R6,0603,1,2k,C22975
U1,GPSM-SMD_24P-L16.0-W12.2-P1.10-TL,1,LC29HEAMD,C28453488
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,TP4056,C16581
U3,SOT-23-6,1,MT3608,C84817
U_FF1,TSSOP8_74LVC1G74_C458768,1,SN74LVC1G74,C458768
U_HALL1,SOT-23,1,DRV5032AJDBZR,C266120
U_RST1,SOT-23,1,MAX809T,C347372
